puma22,Num Eligible,Num Ineligible
1301605,19055,25333
1301606,20406,22479
1301607,20640,25866
1301700,24075,31303
1301800,26161,29171
1301900,17954,31046
1302000,22278,26179
1302100,32420,42237
1302201,15011,27723
1302202,15249,27033
1302301,33388,23049
1302302,26737,23041
1302400,12584,31375
1302500,16425,38977
1302600,19062,24797
1302700,19380,19553
1302800,28398,30468
1302900,31515,34648
1303000,29575,28251
1303100,25819,20942
1303200,15106,35803
1303301,19608,17077
1303302,20191,17825
1303400,28196,29928
1303500,29208,19059
1303600,26729,36616
1303700,30272,26077
1303800,40867,43071
1303900,26980,17528
1304000,24952,22423
1304100,22848,19065
1304200,27766,20987
1304300,24682,20457
1304400,33401,25317
1304500,31223,21173
1304600,22038,23518
1304701,36478,33558
1304702,15746,35246
1304800,26547,34843
1500100,37837,41957
1500200,34847,37347
1500301,15543,12844
1500302,11403,26114
1500303,11588,28315
1500304,27251,37037
1500305,18910,17664
1500306,17272,30777
1500307,15707,28380
1500308,16630,22583
1600100,22831,30340
1600200,24653,41276
1600300,19860,24151
1600400,20387,29637
1600500,23599,24563
1600600,22403,35335
1600701,17099,33637
1600702,16589,29863
1600800,18554,33571
1600900,20418,22525
1601000,18997,24845
1601100,21813,25169
1601200,17103,25778
1601300,22713,25929
1700100,25717,33569
1700701,21668,33209
1701901,30551,40008
1701902,28259,32163
1702900,24227,29322
1703101,16951,32695
1703102,16209,23168
1703103,13129,28925
1703104,14083,34433
1703105,16309,34640
1703106,13060,41385
1703107,21220,36889
1703108,24252,42265
1703109,22328,23315
1703110,17373,24517
1703111,18482,24984
1703112,21599,27765
1703113,22558,34754
1703114,28881,38589
1703115,16114,35340
1703116,23640,29883
1703117,33309,22423
1703118,29630,30659
1703151,21437,34036
1703152,26266,37168
1703153,36882,50702
1703154,18189,75597
1703155,22411,39714
1703156,20595,28728
1703157,37957,20106
1703158,39954,15783
1703159,24887,48913
1703160,24073,81615
1703161,40448,26939
1703162,26195,25679
1703163,33183,17596
1703164,29659,26308
1703165,36350,10415
1703166,27285,22662
1703167,35848,18453
1703168,34185,19394
1703700,24649,35655
1704301,19466,39771
1704302,12116,31948
1704303,13610,35405
1704304,11127,32125
1704305,13198,33287
1704306,13308,36327
1704307,14332,44088
1704900,21411,27746
1707300,24523,32051
1708901,9592,37331
1708902,20243,28128
1708903,13083,32449
1708904,23338,18654
1709100,23223,36325
1709300,14719,31711
1709500,24457,36102
1709701,20381,34326
1709702,25115,24406
1709703,16442,39958
1709704,6917,35703
1709705,10522,40206
1709900,25071,34531
1711101,16602,34768
1711102,18456,48046
1711300,24206,45057
1711500,26760,31116
1711700,21601,28572
1711901,27902,30881
1711902,14136,36610
1712100,27819,40468
1713500,22033,33289
1714300,34633,44681
1716100,24676,35511
1716301,26791,36322
1716302,19657,30113
1716500,23883,27817
