zcta,Num Eligible,Num Ineligible
04947,408,353
04949,168,259
04950,1124,974
04951,165,254
04952,349,537
04953,655,694
04955,345,299
04956,173,150
04957,948,821
04958,444,385
04961,239,207
04963,1344,1857
04964,62,54
04965,459,398
04966,364,315
04967,929,805
04969,274,291
04970,389,337
04971,485,420
04973,251,386
04974,474,729
04975,11,10
04976,2362,2046
04978,220,191
04979,231,200
04981,401,617
04982,140,121
04983,397,344
04984,125,108
04985,29,25
04986,285,438
04987,184,282
04988,417,640
04989,827,1142
04992,15,13
05001,1552,2032
05030,11,14
05031,14,19
05032,473,619
05033,553,713
05034,51,66
05035,115,151
05036,174,225
05037,159,208
05038,247,319
05039,186,240
05040,99,127
05041,42,55
05042,113,147
05043,186,240
05045,313,404
05046,217,283
05048,440,577
05050,25,32
05051,217,279
05052,61,80
05053,51,66
05055,628,822
05056,72,95
05058,40,52
05059,242,317
05060,853,1100
05061,325,419
05062,119,156
05065,197,258
05067,43,57
05068,569,745
05069,127,166
05070,85,109
05071,54,71
05072,94,121
05073,4,5
05075,233,300
05076,87,112
05077,217,279
05079,132,170
05081,160,207
05083,35,46
05084,14,19
05086,160,206
05088,141,184
05089,891,1167
05091,595,780
05101,740,969
05141,11,14
05142,134,175
05143,841,1101
05146,112,147
05148,256,336
05149,429,562
05150,152,199
05151,238,312
05152,94,123
05153,144,189
05154,87,113
05155,166,217
05156,1595,2089
05158,166,217
05161,105,137
05201,2573,3370
05250,635,832
05251,281,369
05252,65,85
05253,115,151
05254,87,113
05255,718,941
05257,552,723
05260,69,90
05261,422,553
05262,422,553
05301,2988,3914
05340,209,274
05341,87,113
05342,119,156
05343,177,232
05344,144,189
05345,307,402
05346,917,1201
05350,126,165
05351,51,66
05352,155,203
05353,202,265
05354,390,510
05355,130,170
05356,235,307
05358,43,57
05359,101,132
05360,61,80
05361,155,203
05362,47,61
05363,426,558
05401,5560,7667
05403,3496,4822
05404,1383,1908
05405,409,563
05408,1807,2491
05439,251,346
05440,396,515
05441,102,132
05442,66,86
05443,1189,1533
05444,366,476
05445,677,934
05446,2787,3844
05447,28,36
05448,215,279
05450,990,1288
05452,3841,5297
05454,968,1259
05455,228,297
05456,212,273
05457,294,383
05458,404,526
05459,319,415
05461,856,1178
05462,321,443
05463,91,118
05464,558,726
05465,969,1336
05468,2354,3208
05471,154,200
05472,332,428
05473,273,352
05474,176,229
05476,597,776
05477,788,1087
05478,2943,3827
05481,3,4
05482,1343,1851
05483,311,404
05485,3,4
05486,303,393
05487,281,363
05488,1488,1935
05489,581,801
05491,1076,1387
05492,146,190
05494,304,419
05495,1888,2604
05602,2279,2938
05640,21,27
05641,3111,4009
05647,198,255
05648,87,112
05649,92,118
05650,210,270
05651,280,361
05652,154,200
05653,96,125
05654,231,297
05655,567,737
05656,668,869
05658,280,361
05660,344,443
05661,1103,1434
05663,1222,1575
05664,16,21
05666,7,9
05667,417,537
05669,106,137
05670,7,9
05672,982,1277
05673,499,643
05674,367,473
05675,172,222
05676,959,1245
05677,417,537
05678,33,42
05679,608,783
05680,398,517
05681,42,55
05682,228,294
05701,3641,4769
05730,79,104
05731,4,5
05732,162,213
05733,1069,1395
05734,238,307
05735,718,941
05736,105,137
05737,112,147
05738,206,269
05739,238,312
05742,115,151
05743,754,988
05744,119,156
05746,0,0
05747,49,64
05748,66,85
05751,253,331
05753,2070,2668
05757,152,199
05758,141,184
05759,328,430
05760,200,258
05761,202,265
05762,90,118
05763,469,614
05764,545,714
05765,307,402
05766,137,176
05767,200,263
05768,7,9
05769,233,300
05770,219,282
05772,123,161
05773,364,477
05774,231,302
05775,105,137
05776,69,90
05777,556,728
05778,139,180
05819,1694,2203
05820,80,104
05821,220,286
05822,385,501
05824,204,265
05825,30,39
05826,162,211
05827,116,150
05828,380,494
05829,347,451
05830,264,343
05832,179,232
05833,8,11
05836,212,275
05837,63,82
05839,132,172
05840,14,18
05841,77,100
05842,105,136
05843,476,619
05845,223,290
05846,242,315
05847,165,215
05850,50,64
05851,1139,1481
05853,105,136
05855,1386,1803
05857,264,343
05858,61,79
05859,380,494
05860,487,633
05862,55,72
05866,135,175
05867,146,190
05868,33,43
05871,289,376
05872,162,211
05873,137,178
05874,105,136
05875,121,157
05901,3,4
