puma22,Num Eligible,Num Ineligible,American Indian and Alaska Native Eligible,Asian Eligible,Black or African American Eligible,Native Hawaiian Eligible,White Eligible,Hispanic or Latino Eligible,Veteran Eligible,Elderly Eligible,DIS Eligible,English less than very well Eligible,Percentage Eligible
0607112,19710,19066,1362,3710,1490,218,10793,12457,1017,8335,6661,8400,50.83
0607115,13538,19058,759,1376,2800,0,4642,9179,602,5662,4972,5522,41.53
0607116,20748,16561,916,2087,3960,451,9853,14019,2424,9414,5632,7266,55.61
0607117,18068,13593,857,1016,2343,0,6140,13935,1907,7996,6150,8722,57.07
0607118,30669,27104,1856,3068,4171,100,17130,22665,2549,12201,9110,12815,53.09
0607119,19951,32015,659,6781,1393,67,9681,11142,2491,9134,5410,8042,38.39
0607301,26028,36458,916,4160,3184,165,19759,12891,6886,9733,9219,7063,41.65
0607302,13377,28519,668,1016,90,0,12054,4609,2253,7196,4990,2922,31.93
0607306,24611,21150,1847,1976,1125,0,17687,14992,3091,9174,9088,9491,53.78
0607307,15936,22872,693,410,1151,22,14322,5860,2144,7973,6673,3472,41.06
0607308,11372,36758,761,2924,437,68,8706,2319,1704,6466,2971,2920,23.63
0607310,19865,52326,927,1824,2364,49,17817,4330,3132,7641,5055,2771,27.52
0607311,8501,31607,613,4460,389,0,3667,2096,980,4236,2189,2970,21.2
0607312,14904,26901,565,8464,496,0,7825,4127,2189,4203,2086,4121,35.65
