county,CountyName,rural,Num Eligible,Num Ineligible,Percentage Eligible
10003,New Castle DE,0.0,77157,143519,34.96
10005,Sussex DE,1.0,42525,62207,40.6
12001,Alachua FL,0.0,46458,61729,42.94
12003,Baker FL,1.0,4780,6891,40.96
12005,Bay FL,0.0,33519,43241,43.67
12007,Bradford FL,1.0,5595,5116,52.24
12009,Brevard FL,0.0,102786,151790,40.38
12011,Broward FL,0.0,328588,419204,43.94
12013,Calhoun FL,1.0,2569,2450,51.19
12015,Charlotte FL,0.0,35670,53318,40.08
12017,Citrus FL,1.0,30467,37801,44.63
12019,Clay FL,0.0,29966,50494,37.24
12021,Collier FL,0.0,54730,109210,33.38
12023,Columbia FL,1.0,13764,12584,52.24
12027,DeSoto FL,0.0,7668,6253,55.08
12029,Dixie FL,1.0,3305,3027,52.2
12031,Duval FL,0.0,178909,227389,44.03
12033,Escambia FL,0.0,58459,68520,46.04
12035,Flagler FL,0.0,17207,29889,36.54
12037,Franklin FL,1.0,2325,2229,51.05
12039,Gadsden FL,0.0,8210,7859,51.09
12041,Gilchrist FL,1.0,3538,3229,52.28
12043,Glades FL,1.0,2739,1651,62.39
12045,Gulf FL,1.0,2659,2545,51.1
12047,Hamilton FL,1.0,2824,2118,57.14
12049,Hardee FL,1.0,5720,4654,55.14
12051,Hendry FL,1.0,8944,5396,62.37
12053,Hernando FL,0.0,37445,44052,45.95
12055,Highlands FL,1.0,22893,18096,55.85
12057,Hillsborough FL,0.0,231674,345924,40.11
12059,Holmes FL,1.0,3755,4855,43.61
12061,Indian River FL,0.0,25653,44321,36.66
12063,Jackson FL,1.0,8868,8500,51.06
12065,Jefferson FL,1.0,2712,2604,51.02
12067,Lafayette FL,1.0,1660,1250,57.04
12069,Lake FL,0.0,59261,102170,36.71
12071,Lee FL,0.0,130953,189510,40.86
12073,Leon FL,0.0,52940,68484,43.6
12075,Levy FL,1.0,8485,7750,52.26
12077,Liberty FL,1.0,1499,1429,51.2
12079,Madison FL,1.0,3624,2716,57.16
12081,Manatee FL,0.0,53734,109786,32.86
12083,Marion FL,0.0,71659,85691,45.54
12085,Martin FL,0.0,25804,43393,37.29
12086,Miami-Dade FL,0.0,530537,438087,54.77
12087,Monroe FL,0.0,12938,18047,41.76
12089,Nassau FL,1.0,15274,22035,40.94
12091,Okaloosa FL,0.0,29785,54712,35.25
12093,Okeechobee FL,1.0,8947,5397,62.37
12095,Orange FL,0.0,238267,274119,46.5
12097,Osceola FL,0.0,64143,68961,48.19
12099,Palm Beach FL,0.0,236268,359399,39.66
12101,Pasco FL,0.0,94344,135348,41.07
12103,Pinellas FL,0.0,158299,262491,37.62
12105,Polk FL,0.0,137453,139016,49.72
12107,Putnam FL,1.0,15251,14843,50.68
12109,St. Johns FL,0.0,28919,79893,26.58
12111,St. Lucie FL,0.0,56782,74617,43.21
12113,Santa Rosa FL,0.0,21453,50269,29.91
12115,Sarasota FL,0.0,63822,140197,31.28
12117,Seminole FL,0.0,65115,122914,34.63
12119,Sumter FL,0.0,20912,43139,32.65
12121,Suwannee FL,1.0,8770,6592,57.09
12123,Taylor FL,1.0,4399,3296,57.17
12125,Union FL,1.0,3183,2908,52.26
12127,Volusia FL,0.0,111390,133045,45.57
12129,Wakulla FL,1.0,6313,6053,51.05
12131,Walton FL,1.0,14404,18578,43.67
12133,Washington FL,1.0,4850,6247,43.71
13001,Appling GA,1.0,3773,2566,59.52
13003,Atkinson GA,1.0,1626,1232,56.89
13005,Bacon GA,1.0,2200,1669,56.86
13007,Baker GA,1.0,635,423,60.02
13009,Baldwin GA,1.0,7686,8458,47.61
13011,Banks GA,1.0,3283,3251,50.24
13013,Barrow GA,0.0,12586,16379,43.45
13015,Bartow GA,0.0,14286,24281,37.04
13017,Ben Hill GA,1.0,3702,2807,56.88
13019,Berrien GA,1.0,3912,2955,56.97
13021,Bibb GA,0.0,29575,28251,51.14
13023,Bleckley GA,1.0,2628,1711,60.57
13025,Brantley GA,1.0,3559,2696,56.9
13027,Brooks GA,0.0,3514,2648,57.03
13029,Bryan GA,0.0,7821,8343,48.39
13031,Bulloch GA,0.0,14293,15174,48.51
13033,Burke GA,1.0,5026,4077,55.21
13035,Butts GA,1.0,4578,4902,48.29
13037,Calhoun GA,1.0,1243,804,60.72
13039,Camden GA,1.0,9666,12700,43.22
13043,Candler GA,1.0,2301,1493,60.65
13045,Carroll GA,0.0,19062,24797,43.46
13047,Catoosa GA,0.0,12162,14410,45.77
13049,Charlton GA,1.0,2463,1876,56.76
