puma22,Num Eligible,Num Ineligible,Percentage Eligible
0610100,34766,26850,56.42
0610701,28605,22483,55.99
0610702,29500,17975,62.14
0610703,30297,14664,67.39
0611102,15370,39264,28.13
0611103,27203,23818,53.32
0611104,16011,31763,33.51
0611107,15139,20603,42.36
0611108,16245,29382,35.6
0611109,15235,29171,34.31
0611301,16568,19385,46.08
0611302,18841,22052,46.07
0800100,16677,26372,38.74
0800200,12798,31511,28.88
0800301,14751,29203,33.56
0800302,21347,38684,35.56
0800303,13884,34166,28.89
0800401,10565,34985,23.19
0800501,15920,34743,31.42
0800502,17487,33297,34.43
0800601,14496,52319,21.7
0800701,15049,36526,29.18
0800702,19432,33914,36.43
0800703,20259,41843,32.62
0800801,10016,43150,18.84
0800901,7679,40583,15.91
0800902,8877,37931,18.96
0801001,16379,20562,44.34
0801002,20078,25042,44.5
0801003,12344,27174,31.24
0801101,25665,40797,38.62
0801201,16443,23701,40.96
0801202,26637,36356,42.29
0801301,24460,24418,50.04
0801401,11057,24984,30.68
0801501,14666,33132,30.68
0801601,19495,21894,47.1
0801602,9147,39401,18.84
0801603,10852,29399,26.96
0801701,27453,48774,36.01
0801702,28142,43434,39.32
0801703,22901,24062,48.76
0801704,16892,45372,27.13
0801705,32964,55039,37.46
0801800,18621,26970,40.84
0801900,23077,20777,52.62
0802001,15085,23464,39.13
0802002,12047,43104,21.84
0802003,15407,34162,31.08
0802004,20472,28890,41.47
0802005,17712,33214,34.78
0802006,23880,27367,46.6
0802101,20096,26183,43.42
0802200,21641,28782,42.92
0802301,35237,28712,55.1
0802401,22222,20300,52.26
0802501,24251,33181,42.23
0920100,16828,29934,35.99
0920201,31168,14323,68.51
0920202,18469,43831,29.65
0920203,16286,27928,36.83
0920204,28433,30471,48.27
0920205,12833,33928,27.44
0920206,28580,31935,47.23
0920207,21035,45016,31.85
0920301,19866,21966,47.49
0920401,19291,33041,36.86
0920402,28987,34003,46.02
0920500,21727,52338,29.34
0920601,35050,21323,62.18
0920602,23658,32078,42.45
0920603,27734,39307,41.37
