zcta,Num Eligible,Num Ineligible,Percentage Eligible
03462,227,417,35.25
03464,157,289,35.2
03465,282,518,35.25
03466,162,297,35.29
03467,225,414,35.21
03470,662,1216,35.25
03561,881,1490,37.16
03570,1383,2340,37.15
03574,369,624,37.16
03575,15,25,37.5
03576,432,731,37.15
03579,75,109,40.76
03580,197,333,37.17
03581,449,760,37.14
03582,342,579,37.13
03583,153,259,37.14
03584,512,866,37.16
03585,386,653,37.15
03586,97,164,37.16
03588,245,415,37.12
03590,133,226,37.05
03592,160,271,37.12
03593,49,82,37.4
03595,104,177,37.01
03597,56,94,37.33
03598,497,842,37.12
03601,56,94,37.33
03602,354,635,35.79
03603,752,1273,37.14
03604,1,3,25.0
03605,163,275,37.21
03607,46,78,37.1
03608,373,685,35.26
03609,107,197,35.2
03740,158,267,37.18
03741,597,1010,37.15
03743,1985,3358,37.15
03745,238,402,37.19
03748,679,1150,37.12
03750,138,234,37.1
03751,58,99,36.94
03752,114,193,37.13
03753,510,862,37.17
03755,1601,2710,37.14
03765,70,119,37.04
03766,1444,2443,37.15
03768,255,431,37.17
03770,85,144,37.12
03771,126,213,37.17
03773,1145,1938,37.14
03774,264,447,37.13
03777,182,308,37.14
03779,112,189,37.21
03780,70,119,37.04
03781,274,464,37.13
03782,444,751,37.15
03784,653,1104,37.17
03785,330,558,37.16
03801,2325,7238,24.31
03809,559,951,37.02
03810,344,585,37.03
03811,723,2250,24.32
03812,143,243,37.05
03813,565,962,37.0
03814,362,617,36.98
03816,201,342,37.02
03817,68,116,36.96
03818,534,909,37.01
03819,430,1340,24.29
03820,3881,9223,29.62
03823,227,541,29.56
03824,1834,4358,29.62
03825,1103,2623,29.6
03826,274,853,24.31
03827,337,1049,24.31
03830,246,419,36.99
03832,62,106,36.9
03833,2315,7206,24.31
03835,800,1900,29.63
03836,259,440,37.05
03837,226,384,37.05
03838,176,299,37.05
03839,480,1140,29.63
03840,416,1296,24.3
03841,662,2061,24.31
03842,1639,5101,24.32
03844,248,771,24.34
03845,168,285,37.09
03846,153,261,36.96
03847,50,85,37.04
03848,634,1972,24.33
03849,222,377,37.06
03850,52,88,37.14
03851,460,1094,29.6
03852,69,165,29.49
03853,118,201,36.99
03854,102,316,24.4
03855,318,756,29.61
03856,181,563,24.33
03857,1116,2652,29.62
03858,491,1530,24.29
03860,600,1022,36.99
03861,533,1267,29.61
03862,469,1460,24.31
03864,306,521,37.0
03865,800,2491,24.31
03867,2646,6288,29.62
03868,718,1706,29.62
03869,291,693,29.57
03870,534,1662,24.32
03871,26,82,24.07
03872,611,1039,37.03
03873,670,2086,24.31
03874,873,2718,24.31
03875,149,254,36.97
03878,1411,3353,29.62
03882,259,440,37.05
03883,46,78,37.1
03884,501,1191,29.61
03885,782,2434,24.32
03886,304,518,36.98
03887,267,598,30.87
03890,27,46,36.99
03894,979,1666,37.01
03897,8,14,36.36
03901,1020,2252,31.17
03902,303,668,31.2
03903,862,1904,31.16
03904,1046,2309,31.18
03905,248,547,31.19
03906,641,1415,31.18
03907,203,447,31.23
03908,958,2115,31.17
03909,1403,3099,31.16
03910,14,32,30.43
03911,41,89,31.54
04001,343,758,31.15
04002,974,2152,31.16
04003,42,109,27.81
04005,2682,7658,25.94
04006,11,31,26.19
04008,359,925,27.96
04009,679,1499,31.18
04010,389,337,53.58
04011,2562,6591,27.99
04015,430,1106,27.99
04017,43,125,25.6
04019,12,21,36.36
04020,193,426,31.18
04021,722,2114,25.46
04022,283,245,53.6
04024,74,163,31.22
04027,831,1836,31.16
04029,245,542,31.13
04030,288,637,31.14
04032,1029,2648,27.98
04037,892,773,53.57
04038,1966,5758,25.45
04039,933,2401,27.98
04040,409,777,34.49
04041,382,331,53.58
04042,610,1347,31.17
04043,1482,3272,31.17
04046,1013,2236,31.18
04047,231,510,31.17
04048,410,905,31.18
04049,500,1105,31.15
04050,41,70,36.94
04051,261,226,53.59
04055,505,1115,31.17
04056,21,47,30.88
04057,14,32,30.43
04061,441,973,31.19
04062,1981,5803,25.45
04063,55,160,25.58
04064,907,2657,25.45
04066,68,175,27.98
04068,382,331,53.58
04069,185,476,27.99
04071,580,1490,28.02
04072,2187,6403,25.46
04073,2218,4898,31.17
04074,2355,6897,25.45
04076,376,831,31.15
04079,481,1238,27.98
04083,603,1331,31.18
04084,1060,2341,31.17
04085,255,563,31.17
04086,1126,2896,28.0
04087,291,642,31.19
04088,364,315,53.61
04090,1453,3209,31.17
04091,122,268,31.28
04092,3587,6157,36.81
04093,1075,2373,31.18
04095,191,421,31.21
04096,1059,2724,27.99
04097,480,1235,27.99
04101,3183,5463,36.81
04102,3165,5432,36.82
04103,5483,9410,36.82
04105,1331,3898,25.45
04106,4672,8042,36.75
04107,1029,3005,25.51
04108,160,275,36.78
04109,24,42,36.36
04110,188,552,25.41
04210,3962,6067,39.51
04216,158,137,53.56
04217,779,675,53.58
04219,367,318,53.58
04220,757,656,53.57
04221,268,232,53.6
04222,686,1051,39.49
04224,654,566,53.61
04226,22,19,53.66
04227,4,3,57.14
04231,66,57,53.66
04234,7,6,53.85
04236,721,1104,39.51
04237,70,60,53.85
04238,290,251,53.6
04239,1098,951,53.59
04240,6113,9359,39.51
04250,792,1213,39.5
04252,803,1230,39.5
04253,350,535,39.55
04254,503,771,39.48
