county,Num Eligible,Num Ineligible,Percentage Eligible
55009,39431,70825,35.76
55011,1872,3287,36.29
55013,3128,4293,42.15
55015,6508,14876,30.43
55017,10800,15978,40.33
55019,5797,8206,41.4
55021,8430,15797,34.8
55023,2361,4046,36.85
55025,77455,166341,31.77
55027,12661,23929,34.6
55029,4618,8541,35.09
55031,8381,11504,42.15
55033,5976,11855,33.51
55035,16813,25874,39.39
55037,784,1211,39.3
55039,12925,29543,30.43
55041,1597,2637,37.72
55043,7482,13526,35.62
55045,5342,9657,35.62
55047,3322,4543,42.24
55049,3416,6175,35.62
55051,1161,1593,42.16
55053,2971,5218,36.28
55055,12025,22726,34.6
55057,3914,6708,36.85
55059,24564,43247,36.22
55061,3158,5841,35.09
55063,19562,30718,38.91
55065,2393,4327,35.61
55067,3390,5599,37.71
55069,4944,8165,37.71
55071,12494,23110,35.09
55073,18981,38674,32.92
55075,7203,11130,39.29
55077,2723,3724,42.24
55078,732,1131,39.29
55079,184100,205333,47.27
55081,6779,11617,36.85
55083,6702,10356,39.29
55085,6583,10873,37.71
55087,21928,55143,28.45
55089,9818,27378,26.4
55091,1029,1806,36.3
55093,5932,10416,36.29
55095,7525,10651,41.4
55097,11777,18703,38.64
55099,2659,3650,42.15
55101,30510,48581,38.58
55103,2493,4506,35.62
55105,24479,43384,36.07
55107,2683,3683,42.15
55109,12298,24399,33.51
55111,9479,17763,34.8
55113,3420,4695,42.14
55115,7032,10866,39.29
55117,16015,33401,32.41
55119,3768,5173,42.14
55121,4323,7591,36.29
55123,4499,7709,36.85
55125,4010,6623,37.71
55127,14831,28237,34.44
55129,3145,4317,42.15
55131,14671,40913,26.39
55133,38506,128563,23.05
55135,9050,12379,42.23
55137,4283,5858,42.23
55139,28624,44170,39.32
55141,12419,19722,38.64
56001,5464,10361,34.53
56003,1425,3373,29.7
56005,5828,13569,30.05
56007,2142,4062,34.53
56009,2026,3842,34.53
56011,890,2073,30.04
56013,6492,9276,41.17
56015,1550,3607,30.06
56017,765,1093,41.17
56019,1046,2436,30.04
56021,17425,27533,38.76
56023,2421,5732,29.69
56025,11784,22347,34.53
56027,306,712,30.06
56029,3662,8671,29.69
56031,1066,2482,30.05
56033,3823,9051,29.7
56035,1444,2064,41.16
56037,6994,9993,41.17
56039,2885,6829,29.7
56041,3384,4836,41.17
56043,953,2218,30.05
56045,848,1974,30.05
72001,5376,791,87.17
72003,11496,1828,86.28
72005,16610,2641,86.28
72007,6627,1401,82.55
72009,6740,1425,82.55
72011,8184,1215,87.07
72013,25651,4250,85.79
72015,5250,706,88.15
72017,6623,1097,85.79
72019,7930,1676,82.55
72021,50039,16346,75.38
72023,14016,2314,85.83
72025,38290,9296,80.46
72027,9902,1377,87.79
72029,11545,3228,78.15
72031,43601,15601,73.65
72033,4745,3757,55.81
72035,11395,2409,82.55
72037,3469,585,85.57
72039,5069,745,87.19
72041,10937,2312,82.55
72043,9777,1336,87.98
72045,5168,1092,82.56
72047,8913,1841,82.88
72049,548,93,85.49
72051,9591,3604,72.69
72053,9853,1663,85.56
72054,3420,567,85.78
72055,4030,563,87.74
72057,12135,1632,88.15
72059,5199,726,87.75
72061,18399,14568,55.81
72063,10806,3284,76.69
72065,11607,1614,87.79
72067,5004,743,87.07
72069,15611,2635,85.56
72071,12951,1801,87.79
72073,4406,648,87.18
72075,13127,1793,87.98
72077,9734,2820,77.54
72079,6933,1145,85.83
72081,8381,1233,87.17
72083,2645,389,87.18
72085,9254,2681,77.54
72087,6460,1806,78.15
72089,4850,1356,78.15
72091,11545,1913,85.79
72093,1417,208,87.2
72095,3509,472,88.14
72097,23363,3470,87.07
72099,11293,1796,86.28
72101,8055,1632,83.15
72103,7170,1210,85.56
72105,7538,1557,82.88
72107,6394,940,87.18
72109,5298,712,88.15
72111,5966,833,87.75
72113,41409,8290,83.32
72115,7128,991,87.79
72117,4578,728,86.28
72119,12834,3588,78.15
72121,6647,928,87.75
72123,8547,1149,88.15
72125,9474,1564,85.83
72127,95157,40708,70.04
72129,9913,2872,77.54
72131,11737,1726,87.18
72133,5720,781,87.99
72135,17232,3560,82.88
72137,20131,7563,72.69
72139,18018,5477,76.69
72141,8435,1240,87.18
72143,9927,2011,83.15
72145,15263,3092,83.15
72147,2527,427,85.55
72149,6232,851,87.99
72151,9334,1575,85.56
72153,9993,1395,87.75
