sduni20,Num Eligible,Num Ineligible,Percentage Eligible
0601423,2597,1258,67.37
0601426,2238,4175,34.9
0601428,2924,1874,60.94
0601442,1218,1011,54.64
0601620,14004,19428,41.89
0601770,11129,17719,38.58
0601860,2327,4963,31.92
0602010,242,117,67.41
0602070,224,289,43.66
0602430,15464,16415,48.51
0602450,7511,9665,43.73
0602730,675,560,54.66
0602850,19369,19112,50.33
0602970,9142,9661,48.62
0603300,5080,8026,38.76
0603600,10596,9393,53.01
0603610,120,82,59.41
0603690,11049,9139,54.73
0603840,6002,5288,53.16
0604020,7681,5286,59.23
0604110,3701,2276,61.92
0604230,3505,3320,51.36
0604290,11159,9706,53.48
0604440,14056,10379,57.52
0604620,4448,5460,44.89
0604740,14269,30437,31.92
0604830,5840,11778,33.15
0604950,367,472,43.74
0605010,300,288,51.02
0605040,695,712,49.4
0605240,1702,3490,32.78
0605610,7508,13315,36.06
0605700,361,768,31.98
0605880,5286,9450,35.87
0606450,17994,25524,41.35
0606580,335,322,50.99
0606780,2186,7063,23.63
0606870,4801,6177,43.73
0606900,6965,3553,66.22
0606990,1527,779,66.22
0607020,923,1527,37.67
0607440,35117,103861,25.27
0607500,8178,24401,25.1
0607530,3322,5291,38.57
0607560,2464,4034,37.92
0607800,6787,10557,39.13
0607900,4867,4157,53.93
0607970,16114,11936,57.45
0608130,8123,7738,51.21
0608190,4596,7216,38.91
0608370,22813,23363,49.4
0608460,23508,35117,40.1
0608760,5420,8712,38.35
0608970,1426,3181,30.95
0609030,33727,45383,42.63
0609070,16692,11508,59.19
0609120,5061,1917,72.53
0609390,20740,16312,55.98
0609570,1516,1135,57.19
0609620,28862,15381,65.24
0609640,13877,35310,28.21
0609665,132,109,54.77
0609690,3666,2902,55.82
0609850,35757,44756,44.41
0609870,2690,7090,27.51
0609940,7535,14183,34.69
0610050,10880,12581,46.37
0610260,4781,12845,27.12
0610350,3359,1664,66.87
0610620,12838,15028,46.07
0610680,157,202,43.73
0610770,5292,5091,50.97
0611040,1296,1593,44.86
0611100,50,35,58.82
0611110,37508,32560,53.53
0611280,2617,5442,32.47
0611460,20909,17915,53.86
0611520,4344,3645,54.37
0611730,1013,1037,49.41
0611870,794,1022,43.72
0612180,9640,6921,58.21
0612210,1295,5349,19.49
0612330,49577,64336,43.52
0612630,1834,2920,38.58
0612840,3026,3152,48.98
0612930,1076,1260,46.06
0613360,21642,23950,47.47
0613470,1467,1606,47.74
0613800,2846,3869,42.38
0613840,1823,719,71.72
0613890,15721,34909,31.05
0613920,28470,22008,56.4
0614070,3083,2560,54.63
0614250,2155,846,71.81
0614400,20595,54198,27.54
0614550,80875,49288,62.13
0614880,45777,30869,59.73
0614950,5593,6177,47.52
0615150,212,472,30.99
0615180,8200,13452,37.87
0615240,36948,42050,46.77
0615270,4874,7802,38.45
0616323,2050,977,67.72
0616325,14925,15503,49.05
0616740,25528,32073,44.32
0616920,30200,22330,57.49
0617220,1911,911,67.72
0617430,1410,719,66.23
0618210,4300,2193,66.23
0618390,21224,17905,54.24
0618990,1933,3403,36.23
0619260,12305,15299,44.58
0619320,2749,2283,54.63
0619490,4319,1632,72.58
0619700,7517,6085,55.26
0619950,1478,1101,57.31
0620070,5222,4336,54.63
0620130,1858,4707,28.3
0620220,303,976,23.69
0620370,3291,9039,26.69
0620640,3796,7785,32.78
0620670,2402,1994,54.64
0621000,7615,16948,31.0
0621150,661,258,71.93
0621690,8286,7888,51.23
0621810,2041,2118,49.07
0621870,3311,1604,67.37
0622050,2118,1636,56.42
0622110,7069,24458,22.42
0622230,29907,29810,50.08
0622410,9977,10202,49.44
0622440,452,582,43.71
0622500,87466,101623,46.26
0622590,6198,10026,38.2
0622710,886954,742917,54.42
0622740,9798,4669,67.73
0622860,716,536,57.19
0623080,12606,19126,39.73
0623160,12475,4838,72.06
0623340,15177,10895,58.21
0623530,1588,2044,43.72
0623610,18214,22465,44.77
0623820,287,184,60.93
0623940,3145,4046,43.74
0624030,4495,7475,37.55
0624090,12471,9661,56.35
0624150,336,252,57.14
0624230,2557,1639,60.94
0624480,1265,1050,54.64
0624500,8554,14893,36.48
0624750,2031,1686,54.64
0625190,1165,1121,50.96
0625230,3992,3176,55.69
0625320,6407,7734,45.31
0625470,29016,14700,66.37
0625530,13713,22219,38.16
0625690,4605,8072,36.33
0625800,25353,22121,53.4
0625830,7763,13664,36.23
0625860,15386,10588,59.24
0626100,1273,2708,31.98
0626370,35073,63870,35.45
0626490,1092,868,55.71
0626640,16045,26241,37.94
0626760,1533,1055,59.23
0626910,7504,16568,31.17
0627060,4781,10074,32.18
0627200,2266,2155,51.26
0627240,24083,53017,31.24
0627590,4246,6195,40.67
0627690,17366,15588,52.7
0627720,7507,15302,32.91
0627850,1419,3624,28.14
0628050,73551,97106,43.1
0628250,18027,25264,41.64
0628270,3012,4095,42.38
0628650,27399,42442,39.23
0629190,110,142,43.65
0629370,2547,4127,38.16
0629490,15297,22570,40.4
0629550,36000,39305,47.81
0629610,6259,25984,19.41
0629640,4078,2867,58.72
0629700,6215,16223,27.7
0629820,2685,2750,49.4
0629850,13655,8647,61.23
0629910,2437,1999,54.94
0629940,28072,53004,34.62
0630030,4060,3876,51.16
0630330,1613,2597,38.31
0630360,1301,1081,54.62
0630600,10846,10063,51.87
0630660,21620,34128,38.78
0631170,3642,3504,50.97
0631320,27137,18684,59.22
0631400,469,389,54.66
0631530,17076,57745,22.82
0631620,205,154,57.1
0631710,5184,7583,40.6
0632070,20248,24279,45.47
0632270,2386,1894,55.75
0632370,22041,15420,58.84
0632550,40593,50007,44.8
0632610,5542,5250,51.35
0632880,3355,3611,48.16
0633110,2239,3878,36.6
0633150,33165,41211,44.59
0633720,665,552,54.64
0633750,15331,16588,48.03
0633840,64521,71409,47.47
0633860,23075,58376,28.33
0634170,51036,26857,65.52
0634320,156421,259398,37.62
0634410,124988,226238,35.59
0634425,6681,7035,48.71
0634440,9805,8303,54.15
0634590,30166,63107,32.34
